Rank,User Name,Display Name,Department,Identity Type,Platforms,Risk Score,Severity,Detected Risks,days_since_last_login,direct_groups,all_effective_groups,inherited_via,AWS_api_key_age
115,matthew.smith,Matthew Smith,Finance,Employee,"Active Directory, AWS IAM, Okta",35.0,Medium,Privilege Spike,11,Workday|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|GG-ReadOnly-FS|Concur|SAP S4HANA|GG-SAP-Users|arn:aws:iam::aws:policy/AWSBillingReadOnlyAccess|GG-Finance-Staff,Workday|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|GG-ReadOnly-FS|Concur|SAP S4HANA|GG-SAP-Users|arn:aws:iam::aws:policy/AWSBillingReadOnlyAccess|GG-Finance-Staff,,108.0
116,diane.beck,Diane Beck,Legal,Employee,"Active Directory, AWS IAM, Okta",35.0,Medium,Privilege Spike,198,Relativity|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|GG-DLP-Policy|Slack|GG-Legal-Staff|SharePoint|DocuSign,Relativity|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|GG-DLP-Policy|Slack|GG-Legal-Staff|SharePoint|DocuSign,,182.0
117,alyssa.cochran,Alyssa Cochran,IT,Employee,"Active Directory, AWS IAM, Okta",35.0,Medium,"Dormant Admin, Cross-Platform Admin",134,Slack|GG-Domain-Admins|GG-ServiceDesk|GG-IT-Staff|Okta Admin Console|GitHub Enterprise|arn:aws:iam::aws:policy/AdministratorAccess|AWS SSO|GG-Infra-Ops|CyberArk|ServiceNow,Slack|GG-Domain-Admins|GG-IT-Staff|GG-ServiceDesk|Okta Admin Console|GitHub Enterprise|arn:aws:iam::aws:policy/AdministratorAccess|AWS SSO|GG-Infra-Ops|CyberArk|ServiceNow,,128.0
118,casey.johnson,Casey Johnson,IT,Employee,"Active Directory, AWS IAM, Okta",35.0,Medium,"Dormant Admin, Cross-Platform Admin",158,Slack|GG-Domain-Admins|GG-ServiceDesk|GG-IT-Staff|Okta Admin Console|GitHub Enterprise|arn:aws:iam::aws:policy/AdministratorAccess|AWS SSO|GG-Infra-Ops|CyberArk|ServiceNow,Slack|GG-Domain-Admins|GG-IT-Staff|GG-ServiceDesk|Okta Admin Console|GitHub Enterprise|arn:aws:iam::aws:policy/AdministratorAccess|AWS SSO|GG-Infra-Ops|CyberArk|ServiceNow,,126.0
119,deanna.bartlett,Deanna Bartlett,External,Contractor,"Active Directory, AWS IAM, Okta",35.0,Medium,Privilege Spike,167,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-Contractors|GG-Guest-Access,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-Contractors|GG-Guest-Access,,101.0
120,martin.hughes,Martin Hughes,External,Contractor,"Active Directory, AWS IAM, Okta",35.0,Medium,Privilege Spike,14,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-Contractors|GG-Guest-Access,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-Contractors|GG-Guest-Access,,132.0
121,lisa.martinez,Lisa Martinez,External,Contractor,"Active Directory, AWS IAM, Okta",35.0,Medium,Privilege Spike,70,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-Contractors|GG-Guest-Access,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-Contractors|GG-Guest-Access,,167.0
122,robert.kim,Robert Kim,IT,Employee,"Active Directory, AWS IAM, Okta",35.0,Medium,"Dormant Admin, Cross-Platform Admin",243,Slack|GG-Domain-Admins|GG-ServiceDesk|GG-IT-Staff|Okta Admin Console|GitHub Enterprise|arn:aws:iam::aws:policy/AdministratorAccess|AWS SSO|GG-Infra-Ops|CyberArk|ServiceNow,Slack|GG-Domain-Admins|GG-IT-Staff|GG-ServiceDesk|Okta Admin Console|GitHub Enterprise|arn:aws:iam::aws:policy/AdministratorAccess|AWS SSO|GG-Infra-Ops|CyberArk|ServiceNow,,191.0
123,svc-guy-test,svc-guy-test,Engineering,Service Account,"Active Directory, AWS IAM",35.0,Medium,"Privilege Spike, Cross-Platform Admin",16,GG-Domain-Admins|GG-VPN-Access|arn:aws:iam::aws:policy/AdministratorAccess|GG-Git-Users|GG-Dev-Staff,GG-Domain-Admins|GG-VPN-Access|arn:aws:iam::aws:policy/AdministratorAccess|GG-Git-Users|GG-Dev-Staff,,45.0
124,andrea.abbott,Andrea Abbott,HR,Employee,"Active Directory, AWS IAM, Okta",35.0,Medium,Privilege Spike,26,GG-HRIS-Access|Workday|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|BambooHR|GG-HR-Staff|ServiceNow,GG-HRIS-Access|Workday|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|BambooHR|GG-HR-Staff|ServiceNow,,158.0
125,svc-cut-dev,svc-cut-dev,Engineering,Service Account,"Active Directory, AWS IAM",35.0,Medium,"Dormant Admin, Cross-Platform Admin",326,GG-Domain-Admins|GG-VPN-Access|arn:aws:iam::aws:policy/AdministratorAccess|GG-Git-Users|GG-Dev-Staff,GG-Domain-Admins|GG-VPN-Access|arn:aws:iam::aws:policy/AdministratorAccess|GG-Git-Users|GG-Dev-Staff,,1.0
126,svc-similar-prod,svc-similar-prod,Engineering,Service Account,"Active Directory, AWS IAM",35.0,Medium,"Dormant Admin, Cross-Platform Admin",120,GG-Domain-Admins|GG-VPN-Access|arn:aws:iam::aws:policy/AdministratorAccess|GG-Git-Users|GG-Dev-Staff,GG-Domain-Admins|GG-VPN-Access|arn:aws:iam::aws:policy/AdministratorAccess|GG-Git-Users|GG-Dev-Staff,,70.0
127,svc-produce-prod,svc-produce-prod,Engineering,Service Account,"Active Directory, AWS IAM",35.0,Medium,"Dormant Admin, Cross-Platform Admin",205,GG-Domain-Admins|GG-VPN-Access|arn:aws:iam::aws:policy/AdministratorAccess|GG-Git-Users|GG-Dev-Staff,GG-Domain-Admins|GG-VPN-Access|arn:aws:iam::aws:policy/AdministratorAccess|GG-Git-Users|GG-Dev-Staff,,34.0
128,svc-draw-prod,svc-draw-prod,Engineering,Service Account,"Active Directory, AWS IAM",35.0,Medium,"Dormant Admin, Cross-Platform Admin",182,GG-Domain-Admins|GG-VPN-Access|arn:aws:iam::aws:policy/AdministratorAccess|GG-Git-Users|GG-Dev-Staff,GG-Domain-Admins|GG-VPN-Access|arn:aws:iam::aws:policy/AdministratorAccess|GG-Git-Users|GG-Dev-Staff,,54.0
129,michele.williams,Michele Williams,Legal,Employee,"Active Directory, AWS IAM, Okta",35.0,Medium,Privilege Spike,260,Relativity|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|GG-DLP-Policy|Slack|GG-Legal-Staff|SharePoint|DocuSign,Relativity|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|GG-DLP-Policy|Slack|GG-Legal-Staff|SharePoint|DocuSign,,77.0
130,rebecca.henderson,Rebecca Henderson,Sales,Employee,"Active Directory, AWS IAM, Okta",35.0,Medium,Privilege Spike,225,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Salesforce|GG-CRM-Access|HubSpot|GG-Sales-Staff|Zoom,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Salesforce|GG-CRM-Access|GG-Sales-Staff|Zoom|HubSpot,,172.0
131,svc-rule-prod,svc-rule-prod,Engineering,Service Account,"Active Directory, AWS IAM",35.0,Medium,"Dormant Admin, Cross-Platform Admin",231,GG-Domain-Admins|GG-VPN-Access|arn:aws:iam::aws:policy/AdministratorAccess|GG-Git-Users|GG-Dev-Staff,GG-Domain-Admins|GG-VPN-Access|arn:aws:iam::aws:policy/AdministratorAccess|GG-Git-Users|GG-Dev-Staff,,176.0
132,david.martinez,David Martinez,Sales,Employee,"Active Directory, AWS IAM, Okta",35.0,Medium,Privilege Spike,41,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Salesforce|GG-CRM-Access|HubSpot|GG-Sales-Staff|Zoom,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Salesforce|GG-CRM-Access|GG-Sales-Staff|Zoom|HubSpot,,151.0
133,nathan.nichols,Nathan Nichols,IT,Employee,"Active Directory, AWS IAM, Okta",35.0,Medium,"Dormant Admin, Cross-Platform Admin",202,Slack|GG-Domain-Admins|GG-ServiceDesk|GG-IT-Staff|Okta Admin Console|GitHub Enterprise|arn:aws:iam::aws:policy/AdministratorAccess|AWS SSO|GG-Infra-Ops|CyberArk|ServiceNow,Slack|GG-Domain-Admins|GG-IT-Staff|GG-ServiceDesk|Okta Admin Console|GitHub Enterprise|arn:aws:iam::aws:policy/AdministratorAccess|AWS SSO|GG-Infra-Ops|CyberArk|ServiceNow,,182.0
134,mark.davenport,Mark Davenport,Legal,Employee,"Active Directory, AWS IAM, Okta",35.0,Medium,Privilege Spike,127,Relativity|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|GG-DLP-Policy|Slack|GG-Legal-Staff|SharePoint|DocuSign,Relativity|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|GG-DLP-Policy|Slack|GG-Legal-Staff|SharePoint|DocuSign,,171.0
135,anthony.carter,Anthony Carter,Sales,Employee,"Active Directory, AWS IAM, Okta",35.0,Medium,Privilege Spike,56,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Salesforce|GG-CRM-Access|HubSpot|GG-Sales-Staff|Zoom,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Salesforce|GG-CRM-Access|GG-Sales-Staff|Zoom|HubSpot,,42.0
136,ryan.garcia,Ryan Garcia,Sales,Employee,"Active Directory, AWS IAM, Okta",35.0,Medium,Privilege Spike,51,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Salesforce|GG-CRM-Access|HubSpot|GG-Sales-Staff|Zoom,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Salesforce|GG-CRM-Access|GG-Sales-Staff|Zoom|HubSpot,,187.0
137,luis.acosta,Luis Acosta,Finance,Employee,"Active Directory, AWS IAM, Okta",35.0,Medium,Privilege Spike,177,Workday|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|GG-ReadOnly-FS|Concur|SAP S4HANA|GG-SAP-Users|arn:aws:iam::aws:policy/AWSBillingReadOnlyAccess|GG-Finance-Staff,Workday|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|GG-ReadOnly-FS|Concur|SAP S4HANA|GG-SAP-Users|arn:aws:iam::aws:policy/AWSBillingReadOnlyAccess|GG-Finance-Staff,,115.0
138,mary.bass,Mary Bass,IT,Employee,"Active Directory, AWS IAM, Okta",35.0,Medium,"Dormant Admin, Cross-Platform Admin",105,Slack|GG-Domain-Admins|GG-ServiceDesk|GG-IT-Staff|Okta Admin Console|GitHub Enterprise|arn:aws:iam::aws:policy/AdministratorAccess|AWS SSO|GG-Infra-Ops|CyberArk|ServiceNow,Slack|GG-Domain-Admins|GG-IT-Staff|GG-ServiceDesk|Okta Admin Console|GitHub Enterprise|arn:aws:iam::aws:policy/AdministratorAccess|AWS SSO|GG-Infra-Ops|CyberArk|ServiceNow,,74.0
139,kimberly.flynn,Kimberly Flynn,Sales,Employee,"Active Directory, AWS IAM, Okta",35.0,Medium,Privilege Spike,80,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Salesforce|GG-CRM-Access|HubSpot|GG-Sales-Staff|Zoom,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Salesforce|GG-CRM-Access|GG-Sales-Staff|Zoom|HubSpot,,64.0
140,courtney.dvm,Courtney Sutton DVM,HR,Employee,"Active Directory, AWS IAM, Okta",35.0,Medium,Privilege Spike,14,GG-HRIS-Access|Workday|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|BambooHR|GG-HR-Staff|ServiceNow,GG-HRIS-Access|Workday|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|BambooHR|GG-HR-Staff|ServiceNow,,61.0
141,angel.shields,Angel Shields,Legal,Employee,"Active Directory, AWS IAM, Okta",35.0,Medium,Privilege Spike,191,Relativity|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|GG-DLP-Policy|Slack|GG-Legal-Staff|SharePoint|DocuSign,Relativity|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|GG-DLP-Policy|Slack|GG-Legal-Staff|SharePoint|DocuSign,,174.0
142,lisa.perry,Lisa Perry,Sales,Employee,"Active Directory, AWS IAM, Okta",35.0,Medium,Privilege Spike,77,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Salesforce|GG-CRM-Access|HubSpot|GG-Sales-Staff|Zoom,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Salesforce|GG-CRM-Access|GG-Sales-Staff|Zoom|HubSpot,,5.0
143,victoria.evans,Victoria Evans,HR,Employee,"Active Directory, AWS IAM, Okta",35.0,Medium,Privilege Spike,85,GG-HRIS-Access|Workday|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|BambooHR|GG-HR-Staff|ServiceNow,GG-HRIS-Access|Workday|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|BambooHR|GG-HR-Staff|ServiceNow,,146.0
144,jennifer.kirby,Jennifer Kirby,IT,Employee,"Active Directory, AWS IAM, Okta",35.0,Medium,"Dormant Admin, Cross-Platform Admin",135,Slack|GG-Domain-Admins|GG-ServiceDesk|GG-IT-Staff|Okta Admin Console|GitHub Enterprise|arn:aws:iam::aws:policy/AdministratorAccess|AWS SSO|GG-Infra-Ops|CyberArk|ServiceNow,Slack|GG-Domain-Admins|GG-IT-Staff|GG-ServiceDesk|Okta Admin Console|GitHub Enterprise|arn:aws:iam::aws:policy/AdministratorAccess|AWS SSO|GG-Infra-Ops|CyberArk|ServiceNow,,55.0
145,michele.evans,Michele Evans,Sales,Employee,"Active Directory, AWS IAM, Okta",30.0,Medium,Cross-Platform Admin,14,Slack|GG-Domain-Admins|Salesforce|GG-CRM-Access|HubSpot|GG-Sales-Staff|arn:aws:iam::aws:policy/AdministratorAccess|Zoom,Slack|GG-Domain-Admins|Salesforce|GG-CRM-Access|GG-Sales-Staff|arn:aws:iam::aws:policy/AdministratorAccess|Zoom|HubSpot,,150.0
146,natasha.wall,Natasha Wall,HR,Employee,"Active Directory, AWS IAM, Okta",30.0,Medium,Cross-Platform Admin,42,GG-HRIS-Access|Workday|Slack|GG-Domain-Admins|BambooHR|GG-HR-Staff|arn:aws:iam::aws:policy/AdministratorAccess|ServiceNow,GG-HRIS-Access|Workday|Slack|GG-Domain-Admins|BambooHR|GG-HR-Staff|arn:aws:iam::aws:policy/AdministratorAccess|ServiceNow,,189.0
147,brittany.gay,Brittany Gay,External,Contractor,"Active Directory, AWS IAM, Okta",30.0,Medium,Cross-Platform Admin,65,Slack|GG-Domain-Admins|Jira|GG-Contractors|GG-Guest-Access|arn:aws:iam::aws:policy/AdministratorAccess,Slack|GG-Domain-Admins|Jira|GG-Contractors|GG-Guest-Access|arn:aws:iam::aws:policy/AdministratorAccess,,71.0
148,svc-identify-dev,svc-identify-dev,IT,Service Account,"Active Directory, AWS IAM",30.0,Medium,"Token Abuse, Hidden Admin",45,GG-ServiceDesk|GG-IT-Staff|arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess|GG-Infra-Ops|arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,GG-Domain-Admins|GG-IT-Staff|GG-ServiceDesk|arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess|GG-Infra-Ops|arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,GG-Domain-Admins,422.0
149,svc-part-dev,svc-part-dev,IT,Service Account,"Active Directory, AWS IAM",30.0,Medium,"Token Abuse, Hidden Admin",40,GG-ServiceDesk|GG-IT-Staff|arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess|GG-Infra-Ops|arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,GG-Domain-Admins|GG-IT-Staff|GG-ServiceDesk|arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess|GG-Infra-Ops|arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,GG-Domain-Admins,854.0
150,william.stevenson,William Stevenson,HR,Employee,"Active Directory, AWS IAM, Okta",30.0,Medium,Cross-Platform Admin,30,GG-HRIS-Access|Workday|Slack|GG-Domain-Admins|BambooHR|GG-HR-Staff|arn:aws:iam::aws:policy/AdministratorAccess|ServiceNow,GG-HRIS-Access|Workday|Slack|GG-Domain-Admins|BambooHR|GG-HR-Staff|arn:aws:iam::aws:policy/AdministratorAccess|ServiceNow,,20.0
151,jeffrey.carpenter,Jeffrey Carpenter,Legal,Employee,"Active Directory, AWS IAM, Okta",30.0,Medium,Cross-Platform Admin,20,Relativity|GG-DLP-Policy|GG-Domain-Admins|Slack|GG-Legal-Staff|arn:aws:iam::aws:policy/AdministratorAccess|SharePoint|DocuSign,Relativity|GG-DLP-Policy|GG-Domain-Admins|Slack|GG-Legal-Staff|arn:aws:iam::aws:policy/AdministratorAccess|SharePoint|DocuSign,,89.0
152,angelica.garcia,Angelica Garcia,HR,Employee,"Active Directory, AWS IAM, Okta",30.0,Medium,Cross-Platform Admin,90,GG-HRIS-Access|Workday|Slack|GG-Domain-Admins|BambooHR|GG-HR-Staff|arn:aws:iam::aws:policy/AdministratorAccess|ServiceNow,GG-HRIS-Access|Workday|Slack|GG-Domain-Admins|BambooHR|GG-HR-Staff|arn:aws:iam::aws:policy/AdministratorAccess|ServiceNow,,132.0
153,mikayla.silva,Mikayla Silva,Legal,Employee,"Active Directory, AWS IAM, Okta",30.0,Medium,Cross-Platform Admin,44,Relativity|GG-DLP-Policy|GG-Domain-Admins|Slack|GG-Legal-Staff|arn:aws:iam::aws:policy/AdministratorAccess|SharePoint|DocuSign,Relativity|GG-DLP-Policy|GG-Domain-Admins|Slack|GG-Legal-Staff|arn:aws:iam::aws:policy/AdministratorAccess|SharePoint|DocuSign,,116.0
154,katherine.taylor,Katherine Taylor,IT,Employee,"Active Directory, AWS IAM, Okta",30.0,Medium,"Token Abuse, Hidden Admin",76,ServiceNow|Slack|GG-ServiceDesk|GG-IT-Staff|GitHub Enterprise|arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess|AWS SSO|GG-Infra-Ops|CyberArk|arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,Slack|GG-Domain-Admins|GG-IT-Staff|GG-ServiceDesk|GitHub Enterprise|arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess|AWS SSO|GG-Infra-Ops|CyberArk|ServiceNow|arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,GG-Domain-Admins,478.0
155,svc-laugh-test2,svc-laugh-test,IT,Service Account,"Active Directory, AWS IAM",20.0,Medium,"Dormant Admin, Cross-Platform Admin",143,GG-Domain-Admins|GG-ServiceDesk|GG-IT-Staff|arn:aws:iam::aws:policy/AdministratorAccess|GG-Infra-Ops,GG-Domain-Admins|GG-IT-Staff|GG-ServiceDesk|arn:aws:iam::aws:policy/AdministratorAccess|GG-Infra-Ops,,131.0
156,samuel.suarez,Samuel Suarez,External,Contractor,"Active Directory, AWS IAM, Okta",20.0,Medium,Token Abuse,154,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-Contractors|GG-Guest-Access,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-Contractors|GG-Guest-Access,,829.0
157,jennifer.clark,Jennifer Clark,Sales,Employee,"Active Directory, AWS IAM, Okta",20.0,Medium,Token Abuse,116,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Salesforce|GG-CRM-Access|HubSpot|GG-Sales-Staff|Zoom,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Salesforce|GG-CRM-Access|GG-Sales-Staff|Zoom|HubSpot,,606.0
158,cynthia.rogers,Cynthia Rogers,IT,Employee,"Active Directory, AWS IAM, Okta",20.0,Medium,"Privilege Spike, Cross-Platform Admin",87,Slack|GG-Domain-Admins|GG-ServiceDesk|GG-IT-Staff|Okta Admin Console|GitHub Enterprise|arn:aws:iam::aws:policy/AdministratorAccess|AWS SSO|GG-Infra-Ops|CyberArk|ServiceNow,Slack|GG-Domain-Admins|GG-IT-Staff|GG-ServiceDesk|Okta Admin Console|GitHub Enterprise|arn:aws:iam::aws:policy/AdministratorAccess|AWS SSO|GG-Infra-Ops|CyberArk|ServiceNow,,131.0
159,svc-behavior-dev,svc-behavior-dev,IT,Service Account,"Active Directory, AWS IAM",20.0,Medium,"Dormant Admin, Cross-Platform Admin",308,GG-Domain-Admins|GG-ServiceDesk|GG-IT-Staff|arn:aws:iam::aws:policy/AdministratorAccess|GG-Infra-Ops,GG-Domain-Admins|GG-IT-Staff|GG-ServiceDesk|arn:aws:iam::aws:policy/AdministratorAccess|GG-Infra-Ops,,154.0
160,justin.riley,Justin Riley,IT,Employee,"Active Directory, AWS IAM, Okta",20.0,Medium,"Dormant Admin, Cross-Platform Admin",159,Slack|GG-Domain-Admins|GG-ServiceDesk|GG-IT-Staff|Okta Admin Console|GitHub Enterprise|arn:aws:iam::aws:policy/AdministratorAccess|AWS SSO|GG-Infra-Ops|CyberArk|ServiceNow,Slack|GG-Domain-Admins|GG-IT-Staff|GG-ServiceDesk|Okta Admin Console|GitHub Enterprise|arn:aws:iam::aws:policy/AdministratorAccess|AWS SSO|GG-Infra-Ops|CyberArk|ServiceNow,,161.0
161,svc-decision-test,svc-decision-test,IT,Service Account,"Active Directory, AWS IAM",20.0,Medium,"Dormant Admin, Cross-Platform Admin",255,GG-Domain-Admins|GG-ServiceDesk|GG-IT-Staff|arn:aws:iam::aws:policy/AdministratorAccess|GG-Infra-Ops,GG-Domain-Admins|GG-IT-Staff|GG-ServiceDesk|arn:aws:iam::aws:policy/AdministratorAccess|GG-Infra-Ops,,15.0
162,justin.bishop,Justin Bishop,HR,Employee,"Active Directory, AWS IAM, Okta",20.0,Medium,Token Abuse,291,GG-HRIS-Access|Workday|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|BambooHR|GG-HR-Staff|ServiceNow,GG-HRIS-Access|Workday|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|BambooHR|GG-HR-Staff|ServiceNow,,711.0
163,jeremiah.lopez,Jeremiah Lopez,IT,Employee,"Active Directory, AWS IAM, Okta",20.0,Medium,"Dormant Admin, Cross-Platform Admin",230,Slack|GG-Domain-Admins|GG-ServiceDesk|GG-IT-Staff|Okta Admin Console|GitHub Enterprise|arn:aws:iam::aws:policy/AdministratorAccess|AWS SSO|GG-Infra-Ops|CyberArk|ServiceNow,Slack|GG-Domain-Admins|GG-IT-Staff|GG-ServiceDesk|Okta Admin Console|GitHub Enterprise|arn:aws:iam::aws:policy/AdministratorAccess|AWS SSO|GG-Infra-Ops|CyberArk|ServiceNow,,184.0
164,toni.banks,Toni Banks,Engineering,Employee,"Active Directory, AWS IAM, Okta",20.0,Medium,Token Abuse,31,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-VPN-Access|GitHub Enterprise|Confluence|arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess|AWS SSO|arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess|GG-Git-Users|GG-Dev-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-VPN-Access|GitHub Enterprise|Confluence|arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess|AWS SSO|arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess|GG-Git-Users|GG-Dev-Staff,,883.0
165,peter.dds,Peter Vaughn DDS,Finance,Employee,"Active Directory, AWS IAM, Okta",20.0,Medium,Token Abuse,70,Workday|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|GG-ReadOnly-FS|Concur|SAP S4HANA|GG-SAP-Users|arn:aws:iam::aws:policy/AWSBillingReadOnlyAccess|GG-Finance-Staff,Workday|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|GG-ReadOnly-FS|Concur|SAP S4HANA|GG-SAP-Users|arn:aws:iam::aws:policy/AWSBillingReadOnlyAccess|GG-Finance-Staff,,804.0
166,fernando.lynn,Fernando Lynn,External,Contractor,"Active Directory, AWS IAM, Okta",20.0,Medium,Token Abuse,92,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-Contractors|GG-Guest-Access,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-Contractors|GG-Guest-Access,,578.0
167,rachel.young,Rachel Young,IT,Employee,"Active Directory, AWS IAM, Okta",20.0,Medium,"Dormant Admin, Cross-Platform Admin",281,Slack|GG-Domain-Admins|GG-ServiceDesk|GG-IT-Staff|Okta Admin Console|GitHub Enterprise|arn:aws:iam::aws:policy/AdministratorAccess|AWS SSO|GG-Infra-Ops|CyberArk|ServiceNow,Slack|GG-Domain-Admins|GG-IT-Staff|GG-ServiceDesk|Okta Admin Console|GitHub Enterprise|arn:aws:iam::aws:policy/AdministratorAccess|AWS SSO|GG-Infra-Ops|CyberArk|ServiceNow,,93.0
168,leonard.holland,Leonard Holland,Engineering,Employee,"Active Directory, AWS IAM, Okta",20.0,Medium,Token Abuse,1,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-VPN-Access|GitHub Enterprise|Confluence|arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess|AWS SSO|arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess|GG-Git-Users|GG-Dev-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-VPN-Access|GitHub Enterprise|Confluence|arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess|AWS SSO|arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess|GG-Git-Users|GG-Dev-Staff,,779.0
169,nicholas.phillips,Nicholas Phillips,Sales,Employee,"Active Directory, AWS IAM, Okta",20.0,Medium,Token Abuse,7,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Salesforce|GG-CRM-Access|HubSpot|GG-Sales-Staff|Zoom,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Salesforce|GG-CRM-Access|GG-Sales-Staff|Zoom|HubSpot,,787.0
170,don.md,Don Tucker MD,IT,Employee,"Active Directory, AWS IAM, Okta",20.0,Medium,"Dormant Admin, Cross-Platform Admin",135,Slack|GG-Domain-Admins|GG-ServiceDesk|GG-IT-Staff|Okta Admin Console|GitHub Enterprise|arn:aws:iam::aws:policy/AdministratorAccess|AWS SSO|GG-Infra-Ops|CyberArk|ServiceNow,Slack|GG-Domain-Admins|GG-IT-Staff|GG-ServiceDesk|Okta Admin Console|GitHub Enterprise|arn:aws:iam::aws:policy/AdministratorAccess|AWS SSO|GG-Infra-Ops|CyberArk|ServiceNow,,177.0
171,leslie.alvarado,Leslie Alvarado,Legal,Employee,"Active Directory, AWS IAM, Okta",20.0,Medium,Token Abuse,91,Relativity|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|GG-DLP-Policy|Slack|GG-Legal-Staff|SharePoint|DocuSign,Relativity|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|GG-DLP-Policy|Slack|GG-Legal-Staff|SharePoint|DocuSign,,621.0
